frame_id,timestamp_sec,high_or_critical_zone_count,total_zones,zones_high_or_critical,total_count,raw_multi_zone_alert
1085,36.11927424749164,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",259,1
1086,36.15256390117596,2,8,"crosswalk_main, sidewalk_right",245,0
1087,36.18585355486029,2,8,"crosswalk_main, sidewalk_right",237,0
1088,36.21914320854461,2,8,"crosswalk_main, sidewalk_right",248,0
1089,36.252432862228936,2,8,"crosswalk_main, sidewalk_right",239,0
1090,36.28572251591326,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",248,1
1091,36.31901216959759,2,8,"crosswalk_main, sidewalk_right",236,0
1092,36.35230182328191,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",264,1
1093,36.38559147696623,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",247,1
1094,36.41888113065056,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",255,1
1095,36.45217078433488,2,8,"crosswalk_main, sidewalk_right",242,0
1096,36.4854604380192,2,8,"crosswalk_main, sidewalk_right",249,0
1097,36.51875009170352,2,8,"crosswalk_main, sidewalk_right",246,0
1098,36.55203974538785,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",252,1
1099,36.58532939907217,2,8,"crosswalk_main, sidewalk_right",252,0
1100,36.6186190527565,2,8,"crosswalk_main, sidewalk_right",248,0
1101,36.65190870644082,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",251,1
1102,36.68519836012515,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",248,1
1103,36.71848801380947,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",252,1
1104,36.7517776674938,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",270,1
1105,36.78506732117812,2,8,"crosswalk_main, sidewalk_right",264,0
1106,36.818356974862446,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",271,1
1107,36.85164662854677,2,8,"crosswalk_main, sidewalk_right",256,0
1108,36.884936282231095,2,8,"crosswalk_main, sidewalk_right",269,0
1109,36.918225935915416,3,8,"crosswalk_main, sidewalk_right, sidewalk_top",274,1
1110,36.951515589599744,2,8,"crosswalk_main, sidewalk_right",250,0
1111,36.98480524328407,2,8,"crosswalk_main, sidewalk_right",253,0
1112,37.01809489696839,2,8,"crosswalk_main, sidewalk_right",248,0
1113,37.05138455065271,2,8,"crosswalk_main, sidewalk_right",245,0
1114,37.08467420433704,3,8,"crosswalk_main, sidewalk_right, sidewalk_top",267,1
1115,37.11796385802136,2,8,"crosswalk_main, sidewalk_right",268,0
1116,37.15125351170568,3,8,"crosswalk_main, sidewalk_right, sidewalk_top",276,1
1117,37.18454316539001,2,8,"crosswalk_main, sidewalk_right",261,0
1118,37.21783281907433,2,8,"crosswalk_main, sidewalk_right",250,0
1119,37.25112247275866,2,8,"crosswalk_main, sidewalk_right",255,0
1120,37.28441212644298,2,8,"crosswalk_main, sidewalk_right",254,0
1121,37.31770178012731,2,8,"crosswalk_main, sidewalk_right",250,0
1122,37.35099143381163,2,8,"crosswalk_main, sidewalk_right",261,0
1123,37.38428108749596,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",265,1
1124,37.41757074118028,3,8,"crosswalk_main, sidewalk_right, sidewalk_top",275,1
1125,37.4508603948646,3,8,"crosswalk_main, sidewalk_right, sidewalk_top",257,1
1126,37.484150048548926,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",265,1
1127,37.51743970223325,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",264,1
1128,37.550729355917575,3,8,"crosswalk_main, sidewalk_right, sidewalk_top",257,1
1129,37.584019009601896,2,8,"crosswalk_main, sidewalk_right",261,0
1130,37.617308663286224,4,8,"crosswalk_left, crosswalk_main, sidewalk_right, sidewalk_top",281,1
1131,37.650598316970544,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",272,1
1132,37.68388797065487,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",293,1
1133,37.71717762433919,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",293,1
1134,37.75046727802352,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",274,1
1135,37.78375693170784,2,8,"crosswalk_main, sidewalk_right",270,0
1136,37.81704658539217,3,8,"crosswalk_left, crosswalk_main, sidewalk_right",284,1
1137,37.85033623907649,3,8,"crosswalk_main, sidewalk_right, sidewalk_top",280,1
1138,37.88362589276082,2,8,"crosswalk_main, sidewalk_right",273,0
1139,37.91691554644514,2,8,"crosswalk_main, sidewalk_right",276,0
1140,37.95020520012946,3,8,"crosswalk_main, sidewalk_right, sidewalk_top",282,1
1141,37.98349485381379,2,8,"crosswalk_main, sidewalk_right",262,0
1142,38.01678450749811,3,8,"crosswalk_main, sidewalk_right, sidewalk_top",272,1
